"date","count"
"2013-04-03",9
"2013-04-04",2
"2013-04-17",10
"2013-04-18",1
"2013-04-19",2
"2013-04-21",5
"2013-04-25",3
"2013-04-29",9
"2013-05-01",1
"2013-05-03",4
"2013-05-05",17
"2013-05-10",1
"2013-05-14",10
"2013-05-15",11
"2013-05-16",2
"2013-05-20",13
"2013-05-21",4
"2013-05-30",1
"2013-06-01",8
"2013-06-11",7
"2013-06-12",4
"2013-06-13",3
"2013-06-16",35
"2013-06-17",13
"2013-06-18",2
"2013-06-21",2
"2013-07-02",10
"2013-07-11",3
"2013-07-30",20
"2013-07-31",1
"2013-08-01",3
"2013-08-22",3
"2013-09-01",7
"2013-09-04",4
"2013-10-01",6
"2013-10-18",3
"2013-10-19",43
"2013-10-20",13
"2013-10-23",2
"2013-10-24",17
"2013-10-25",12
"2013-10-27",5
"2013-10-30",11
"2013-11-05",6
"2013-11-06",9
"2013-11-11",101
"2013-11-13",1
"2013-11-14",13
"2013-11-26",1
"2013-11-27",12
"2013-11-28",2
"2013-11-29",12
"2013-11-30",2
"2013-12-01",8
"2013-12-02",3
"2013-12-03",2
"2013-12-04",2
"2013-12-05",10
"2013-12-10",3
"2013-12-11",2
"2013-12-14",6
"2013-12-19",2
"2014-01-02",3
"2014-01-06",5
"2014-01-17",184
"2014-01-22",4
"2014-01-25",2
"2014-01-26",2
"2014-02-03",8
"2014-02-17",3
"2014-02-18",3
"2014-02-24",19
"2014-03-04",1
"2014-03-10",7
"2014-03-21",6
"2014-03-24",18
"2014-03-25",13
